probeId	betaN	betaC	dltBeta	Chromosome	Start	End	CGILocation	GeneSymbol	Gene+AF8-Symbol	importance
cg14287112	0.048070277	0.533282228	0.485211952	chr6	133241347	133241348	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg22871668	0.041925844	0.559027935	0.517102091	chr6	133241354	133241355	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg14270292	0.07791176	0.543498392	0.465586632	chr6	133241356	133241357	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg26656135	0.14987192	0.46771536	0.31784344	chr6	133241636	133241637	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg24176563	0.164668582	0.524079426	0.359410845	chr6	133241638	133241639	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg01401376	0.085790425	0.408674694	0.322884269	chr6	133242204	133242205	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg17722675	0.194194002	0.588018988	0.393824986	chr6	133242244	133242245	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg21607030	0.103395799	0.569588359	0.466192559	chr6	133242394	133242395	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
										
cg01108118	0.149448783	0.486932587	0.337483804	chr6	391189	391190	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg10379890	0.230251686	0.544241414	0.313989728	chr6	391208	391209	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg26433102	0.161147068	0.50972908	0.348582012	chr6	391441	391442	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg05766140	0.08914075	0.497892747	0.408751997	chr6	391743	391744	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg17228900	0.051762156	0.533173893	0.481411738	chr6	391764	391765	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg06392169	0.248342718	0.672611107	0.424268389	chr6	391936	391937	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg12741420	0.215130311	0.574358433	0.359228123	chr6	392131	392132	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg12612118	0.33474813	0.634075021	0.299326891	chr6	392555	392556	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg12684209	0.365009441	0.674983538	0.309974098	chr6	393110	393111	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg21277995	0.153224422	0.708551166	0.555326744	chr6	393239	393240	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
cg06223767	0.110752621	0.623829025	0.513076405	chr6	393616	393617	CGI:chr6:391188+AC0-393802	IRF4	IRF4	3
										
cg12973591	0.163574927	0.623639919	0.460064992	chr7	93890161	93890162	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg22799321	0.217003469	0.619288859	0.40228539	chr7	93890309	93890310	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg20230721	0.258170474	0.764880957	0.506710483	chr7	93890543	93890544	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg23141855	0.240719472	0.588168829	0.347449357	chr7	93890580	93890581	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg23686014	0.207161796	0.553352101	0.346190305	chr7	93890612	93890613	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg24531255	0.237852809	0.603430867	0.365578059	chr7	93890700	93890701	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg17338208	0.171084586	0.682506433	0.511421846	chr7	93890712	93890713	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg26739865	0.196211772	0.616397102	0.42018533	chr7	93890860	93890861	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg22441533	0.061389673	0.309150359	0.247760686	chr7	93890863	93890864	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
cg14377593	0.142520114	0.488453814	0.3459337	chr7	93890871	93890872	CGI:chr7:93890054+AC0-93890872	TFPI2	TFPI2	4
										
cg04525189	0.22150568	0.617407464	0.395901784	chr7	159143816	159143817	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg20830514	0.30013621	0.691705233	0.391569023	chr7	159143846	159143847	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg19814400	0.042096092	0.432950137	0.390854046	chr7	159143940	159143941	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg21038156	0.092040726	0.522705988	0.430665262	chr7	159144047	159144048	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg18349835	0.024981696	0.311391071	0.286409374	chr7	159144415	159144416	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg13794530	0.198536384	0.58647053	0.387934145	chr7	159144802	159144803	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg03976877	0.07165875	0.635229512	0.563570762	chr7	159144918	159144919	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg23572908	0.266432985	0.741307205	0.47487422	chr7	159145277	159145278	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg25189564	0.291392744	0.692656366	0.401263622	chr7	159145359	159145360	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg20673829	0.182200664	0.574952543	0.392751879	chr7	159145368	159145369	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
cg08614290	0.508648005	0.722453242	0.213805237	chr7	159145799	159145800	CGI:chr7:159143815+AC0-159145800	VIPR2	VIPR2	5
										
cg02149189	0.097068752	0.536401105	0.439332353	chr6	29553361	29553362	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg13641185	0.068624242	0.530710319	0.462086077	chr6	29553366	29553367	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg00674706	0.123712464	0.604323257	0.480610793	chr6	29553368	29553369	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg27546977	0.161115585	0.657636344	0.496520759	chr6	29553375	29553376	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg21834061	0.064891871	0.537757077	0.472865207	chr6	29553385	29553386	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg15814717	0.201152287	0.524869845	0.323717558	chr6	29553451	29553452	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg22762215	0.239870426	0.564006915	0.324136489	chr6	29553495	29553496	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg21632158	0.225984794	0.494881962	0.268897169	chr6	29553579	29553580	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg03402459	0.274371236	0.582672418	0.308301182	chr6	29553630	29553631	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg22305167	0.205254688	0.617188181	0.411933494	chr6	29553643	29553644	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg15818307	0.146341671	0.537273482	0.390931811	chr6	29553653	29553654	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg21133153	0.178416849	0.536837956	0.358421107	chr6	29553711	29553712	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg06087185	0.185935807	0.568481929	0.382546122	chr6	29553722	29553723	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg20723129	0.209627305	0.61137861	0.401751305	chr6	29553724	29553725	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg09205920	0.22797838	0.570068186	0.342089806	chr6	29553729	29553730	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg15490715	0.05469784	0.46847692	0.413779081	chr6	29553791	29553792	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg06613392	0.121179719	0.459573017	0.338393298	chr6	29553818	29553819	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg18488157	0.188445615	0.624880401	0.436434786	chr6	29553821	29553822	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg00370229	0.127335892	0.573971934	0.446636043	chr6	29553825	29553826	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg12217400	0.202577075	0.530467918	0.327890843	chr6	29553827	29553828	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg03409187	0.210729621	0.665189509	0.454459888	chr6	29553847	29553848	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg19690984	0.204391007	0.642308418	0.437917412	chr6	29553854	29553855	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg16044251	0.254192248	0.556055293	0.301863045	chr6	29553918	29553919	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg18588589	0.145578048	0.490467414	0.344889365	chr6	29553928	29553929	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg06378770	0.177853051	0.361751727	0.183898676	chr6	29553937	29553938	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg22617773	0.166779438	0.684833199	0.51805376	chr6	29553974	29553975	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg14278853	0.159691291	0.705510297	0.545819006	chr6	29553979	29553980	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg20034792	0.309119823	0.71536803	0.406248207	chr6	29554004	29554005	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg26131286	0.360993901	0.655447196	0.294453295	chr6	29554006	29554007	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg21153898	0.338752541	0.65468979	0.315937249	chr6	29554011	29554012	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
cg26142965	0.381841706	0.677028382	0.295186676	chr6	29554026	29554027	CGI:chr6:29553333+AC0-29554056	OR2I1P	OR2I1P	6
										
cg18780257	0.382410738	0.597969897	0.215559159	chr3	192408234	192408235	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg04003850	0.206148772	0.56521503	0.359066258	chr3	192408376	192408377	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg00386551	0.220355667	0.41013317	0.189777503	chr3	192408455	192408456	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg04350913	0.141358585	0.572010681	0.430652096	chr3	192408795	192408796	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg21197774	0.209598063	0.565831063	0.356233	chr3	192408953	192408954	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg16366473	0.070026554	0.51884883	0.448822276	chr3	192409060	192409061	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg15048660	0.146224995	0.589918421	0.443693426	chr3	192409146	192409147	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg23207710	0.11553314	0.572125672	0.456592532	chr3	192409171	192409172	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg01257828	0.215068928	0.495565895	0.280496967	chr3	192409207	192409208	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg10511904	0.186490385	0.592828589	0.406338205	chr3	192409538	192409539	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg16376000	0.184396088	0.698341665	0.513945577	chr3	192409541	192409542	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg17393267	0.160985976	0.54746512	0.386479143	chr3	192409567	192409568	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg08002883	0.179383138	0.685238345	0.505855207	chr3	192409668	192409669	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
cg01255414	0.295286989	0.603104315	0.307817326	chr3	192410202	192410203	CGI:chr3:192408032+AC0-192410205	FGF12	FGF12	7
										
cg02898293	0.328621349	0.620789477	0.292168128	chr20	25081126	25081127	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg06151165	0.184332446	0.611910758	0.427578313	chr20	25081618	25081619	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg14763548	0.099980113	0.664770023	0.56478991	chr20	25081811	25081812	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg00043788	0.196089392	0.536984587	0.340895195	chr20	25082118	25082119	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg01941895	0.179416942	0.477642785	0.298225842	chr20	25082135	25082136	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg02631468	0.187313398	0.586081449	0.398768052	chr20	25082141	25082142	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg16185834	0.287835192	0.599157593	0.311322401	chr20	25082183	25082184	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg15272362	0.156881882	0.58160811	0.424726227	chr20	25082187	25082188	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg01715455	0.151981725	0.531523185	0.37954146	chr20	25082191	25082192	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
cg03111498	0.226493897	0.51660108	0.290107183	chr20	25082224	25082225	CGI:chr20:25081125+AC0-25082292	VSX1	VSX1	8
										
cg05158615	0.372122178	0.659823851	0.287701672	chr7	24283940	24283941	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg24242823	0.140927356	0.599074821	0.458147465	chr7	24284056	24284057	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg24885417	0.199751896	0.545458388	0.345706492	chr7	24284145	24284146	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg00355281	0.2706169	0.588375873	0.317758973	chr7	24284148	24284149	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg15929698	0.322554616	0.688938358	0.366383742	chr7	24284173	24284174	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg16964348	0.212306468	0.709486377	0.49717991	chr7	24284180	24284181	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg25884711	0.153312536	0.666875979	0.513563444	chr7	24284221	24284222	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg21097881	0.28717068	0.603077231	0.315906551	chr7	24284320	24284321	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg12614105	0.378616438	0.649039086	0.270422648	chr7	24284816	24284817	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg11475550	0.285430093	0.62567671	0.340246618	chr7	24284951	24284952	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg24245418	0.281627721	0.711254499	0.429626778	chr7	24285357	24285358	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
cg04697148	0.306903903	0.61225141	0.305347506	chr7	24285460	24285461	CGI:chr7:24283939+AC0-24285461	NPY	NPY	9
										
cg06782035	0.160277303	0.474662437	0.314385134	chr5	16179026	16179027	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg23479922	0.416324544	0.693596327	0.277271783	chr5	16179524	16179525	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg09017434	0.392142279	0.640793823	0.248651544	chr5	16179551	16179552	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg15015920	0.0565611	0.40984087	0.35327977	chr5	16179764	16179765	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg25092681	0.048197287	0.420159058	0.371961771	chr5	16179924	16179925	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg00339556	0.064227881	0.532411119	0.468183237	chr5	16179939	16179940	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg01791874	0.081823493	0.542065247	0.460241755	chr5	16179946	16179947	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg17030173	0.207955384	0.683865856	0.475910472	chr5	16179953	16179954	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg17712694	0.243764359	0.677571555	0.433807196	chr5	16179959	16179960	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg16150752	0.240134472	0.682136884	0.442002412	chr5	16179963	16179964	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg21901718	0.111296163	0.535698966	0.424402803	chr5	16179967	16179968	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg18325622	0.306176833	0.579041575	0.272864742	chr5	16180150	16180151	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg23065934	0.258293848	0.596149146	0.337855298	chr5	16180157	16180158	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg11452391	0.175384276	0.463174824	0.287790548	chr5	16180206	16180207	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg12456714	0.27306208	0.694850734	0.421788654	chr5	16180284	16180285	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
cg16182986	0.244600776	0.546928294	0.302327518	chr5	16180310	16180311	CGI:chr5:16178955+AC0-16180311	11-Mar	11-Mar	10
										
cg27028555	0.090049569	0.476015953	0.385966384	chr11	128693132	128693133	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg09037089	0.082198429	0.353843623	0.271645193	chr11	128693588	128693589	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg18142615	0.021102175	0.108820223	0.087718048	chr11	128693723	128693724	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg08590601	0.027371435	0.121905604	0.094534169	chr11	128693739	128693740	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg19897940	0.062160435	0.449353776	0.387193342	chr11	128693790	128693791	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg13755070	0.071782948	0.4843652	0.412582252	chr11	128693819	128693820	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg02526522	0.072149303	0.494545527	0.422396225	chr11	128693821	128693822	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg06172475	0.064378741	0.424925281	0.360546541	chr11	128694008	128694009	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg06072021	0.040044969	0.48245031	0.44240534	chr11	128694211	128694212	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg17872757	0.056469883	0.529898348	0.473428465	chr11	128694285	128694286	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg02216246	0.213914457	0.622174868	0.40826041	chr11	128694861	128694862	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
cg11017065	0.043588627	0.691473307	0.64788468	chr11	128694979	128694980	CGI:chr11:128692776+AC0-128695170	FLI1+SENCR	FLI1+SENCR	11
										
cg03186486	0.109042929	0.379462974	0.270420045	chr3	68931796	68931797	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg15356923	0.120342121	0.45651635	0.336174229	chr3	68931860	68931861	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg23967169	0.206617297	0.551009777	0.34439248	chr3	68932352	68932353	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg12417685	0.073948221	0.450778584	0.376830363	chr3	68932701	68932702	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg12219082	0.063123787	0.435058814	0.371935027	chr3	68932703	68932704	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg09868336	0.101756799	0.553192154	0.451435355	chr3	68932715	68932716	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg12412079	0.078054388	0.4846957	0.406641312	chr3	68932726	68932727	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg13921352	0.146421437	0.497284445	0.350863008	chr3	68932739	68932740	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg20375342	0.1548279	0.491019598	0.336191698	chr3	68932744	68932745	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
cg05893614	0.127163606	0.529639459	0.402475853	chr3	68932805	68932806	CGI:chr3:68931632+AC0-68932884	FAM19A4	FAM19A4	12
										
cg23357198	0.205395143	0.297116482	0.091721339	chr20	43188836	43188837	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg26105214	0.156521632	0.293493119	0.136971487	chr20	43189161	43189162	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg25649000	0.158848077	0.661298122	0.502450045	chr20	43189263	43189264	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg13168820	0.204324276	0.581091533	0.376767257	chr20	43189716	43189717	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg03403065	0.1012735	0.639076761	0.537803262	chr20	43189718	43189719	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg08413157	0.072522321	0.498597715	0.426075394	chr20	43190116	43190117	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg17859110	0.053988675	0.553024848	0.499036173	chr20	43190130	43190131	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg07167168	0.087601368	0.481591346	0.393989979	chr20	43190148	43190149	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg21672843	0.102138535	0.567472371	0.465333837	chr20	43190265	43190266	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
cg04541293	0.256818865	0.467796811	0.210977946	chr20	43190485	43190486	CGI:chr20:43188835+AC0-43190572	PTPRT	PTPRT	13
