betaN betaC dltBeta GeneSymbol BaseNumber probeIds
0.146167505137562 0.583673022220998 0.437505517083436 VIPR2 1429 cg19814400;cg21038156;cg18349835;cg13794530;cg03976877;cg23572908;cg25189564;cg20673829
0.0822577020956284 0.518633148928161 0.436375446832533 LONRF2 1250 cg00144550;cg03559235;cg14348439;cg23977631;cg14997226;cg14675211;cg07304692
0.138103167701991 0.574260720129697 0.436157552427706 MSC 873 cg20079899;cg06269753;cg25832771;cg09734791;cg14409559;cg23710218
0.0853458493512301 0.519399873248599 0.434054023897369 EFCC1;KIAA1257 1246 cg00112465;cg19611175;cg15087448;cg11641611;cg20506715;cg02604524;cg25664338
0.121963816174719 0.550491092693658 0.428527276518939 PTPRG 191 cg23069167;cg01861913
0.0766463289801855 0.504408511517717 0.427762182537532 MAP3K14-AS1;SPATA32 609 cg13001868;cg04992638;cg08247376;cg17222164;cg03048083;cg01627847;cg08124910;cg24542751;cg26742995;cg26532627;cg19539667
0.153135695113685 0.579802551949472 0.426666856835787 CMTM2;CKLF-CMTM1;CMTM1 401 cg09849405;cg01683883;cg08032924;cg07153665;cg05546863;cg16626067;cg09854734;cg06666025;cg00049664;cg06033254
0.137271808384953 0.563584324096287 0.426312515711334 NRG1 423 cg04555373;cg03430846;cg24946597
0.177971014453497 0.602667701740557 0.42469668728706 NXPH2 857 cg10989763;cg18150439;cg14923640;cg00804628;cg00593536;cg15175143;cg23302570
0.194016295953516 0.61812413643526 0.424107840481744 OR2I1P 666 cg02149189;cg13641185;cg00674706;cg27546977;cg21834061;cg15814717;cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853;cg20034792;cg26131286;cg21153898;cg26142965
0.145438528782441 0.565961771836096 0.420523243053655 NKX2-2;NKX2-2-AS1 544 cg03133868;cg21977377;cg22474464;cg01397679
0.114699424149359 0.535097149510039 0.42039772536068 ZNF148 248 cg12508343;cg02970696;cg22895305
0.094175903826905 0.514517865212593 0.420341961385688 USP44 977 cg22538054;cg03308628;cg22802813;cg17368254;cg13879483;cg07783282
0.109027844617158 0.527951587203496 0.418923742586338 PXDN 1772 cg12780678;cg19517718;cg09618102;cg08534653;cg12164282;cg25181651;cg09118932;cg14037665
0.172239764582454 0.586902893565935 0.414663128983481 MARCH11 521 cg15015920;cg25092681;cg00339556;cg01791874;cg17030173;cg17712694;cg16150752;cg21901718;cg18325622;cg23065934;cg11452391;cg12456714
0.137885566424897 0.551975919666507 0.41409035324161 CDH4 1766 cg18092028;cg15874092;cg16619425;cg07198552
0.163667245808415 0.577159243094015 0.4134919972856 MIB2;MMP23B 520 cg24368383;cg04882394;cg24535439;cg00262621
0.0965127854514894 0.507728222825819 0.41121543737433 MPPED2 140 cg10566121;cg20959325
0.175015174293969 0.586088265155413 0.411073090861444 ZNF542P;ZSCAN5A 380 cg15708153;cg18787401;cg26309134;cg27062795;cg27477373;cg03146949;cg08697092
0.138472452943719 0.548871565824756 0.410399112881037 BARHL2 1138 cg00010742;cg25026529;cg13939859;cg11823511;cg20311863
0.132916462350479 0.542223024210569 0.40930656186009 CPLX1 1164 cg05448404;cg06821199;cg17128947;cg18638914;cg07434284;cg27651229
0.146297432092552 0.554054831092737 0.407757399000185 EID3;TXNRD1 33 cg18633684;cg03817911;cg20923245
0.129303199142182 0.533556559157649 0.404253360015467 PREX2 386 cg17459204;cg27467929;cg17147045;cg15745900;cg06617456;cg01568998;cg23300368
0.143243334541813 0.544462688532564 0.401219353990751 TRPS1 192 cg05754853;cg03277455;cg22291627
0.11462378070903 0.515143489930846 0.400519709221816 NOS1 417 cg04883903;cg04529785;cg03538436
0.107818388335319 0.506904190926221 0.399085802590902 FBXL21;LECT2 287 cg20924470;cg13557668;cg26664161;cg01283246
0.112182219216885 0.509390739517471 0.397208520300586 FBN2;SLC27A6 1305 cg05209584;cg12940822;cg17958315;cg25084878;cg06993118;cg11965976;cg25532099;cg05686497
0.117647317715198 0.514795226342518 0.39714790862732 COL4A1;COL4A2 1587 cg21938148;cg13596497;cg06659727;cg17541528;cg01956420;cg24089600;cg22757824;cg15871127;cg27546237;cg25530246
0.157017633545556 0.55228161957701 0.395263986031454 GLRB 338 cg05263495;cg22065614;cg09688546;cg16269431;cg08712866
0.195921168900361 0.590767309219828 0.394846140319467 TMTC1 134 cg08729318;cg20140110;cg15720995
0.1278026507626 0.522441061832541 0.394638411069941 SLC35F3 69 cg05051043;cg09424759;cg25437385
0.115817735447005 0.5102474327514 0.394429697304395 COL24A1 231 cg07143532;cg04622601
0.146715810300295 0.540244591213698 0.393528780913403 PRDM14 1562 cg07860213;cg02919936;cg23758305;cg21135533;cg10457247;cg00384539;cg13267264
0.131562363531624 0.524179078356719 0.392616714825095 SEPT9 1383 cg06848185;cg19554255;cg17300544;cg03804136;cg15044248;cg02884239;cg20275528;cg12783819;cg05184938;cg02320862
0.118129848372746 0.506916971168807 0.388787122796061 FAM19A4 1010 cg03186486;cg15356923;cg23967169;cg12417685;cg12219082;cg09868336;cg12412079;cg13921352;cg20375342;cg05893614
0.176373319508762 0.564486946127734 0.388113626618972 UNC5D 54 cg08000065;cg26872137;cg06010588
0.131299382076239 0.51900386180573 0.387704479729491 NA 500 cg25929173;cg16650529;cg08302913;cg14573089
0.172967444437028 0.558741539816337 0.385774095379309 RALYL 222 cg01538821;cg23458558;cg21671806;cg23649708;cg04842146
0.162251168267229 0.545951792237772 0.383700623970543 RYR2 1154 cg18375860;cg11657808;cg07914084;cg02328010;cg01157404
0.123137386878278 0.506628776416363 0.383491389538085 PITX1 481 cg13715631;cg02100373;cg08373003;cg23064601
0.135276789434159 0.516438620298979 0.38116183086482 TMEM132C 1005 cg06164660;cg04475027;cg26682580;cg11877129;cg00579520
0.190922012999888 0.565540697319061 0.374618684319173 TBX15 374 cg05172122;cg24144440;cg02829688;cg21647227;cg13080379
0.146008915493631 0.519658422505412 0.373649507011781 SLC8A1 507 cg09021626;cg14686012;cg03307465;cg14411266
0.186522302472123 0.559654934576177 0.373132632104054 PITX2 538 cg18501555;cg09169953;cg01610231;cg23663774;cg19909239
0.178323189069409 0.550683597659659 0.37236040859025 LINC00403;LINC00404 215 cg18313340;cg04469219;cg15736169;cg03898631
0.163597853355564 0.534656385376964 0.3710585320214 LINC00472 339 cg10039188;cg25210451;cg15045441;cg26162616;cg23281154
0.140993712076623 0.511951595572314 0.370957883495691 MIR137HG;MIR2682;MIR137 599 cg00091285;cg09022943;cg04282138;cg04763554;cg19050990;cg04293733
0.148084236830712 0.519004388092024 0.370920151261312 SFRP2 1071 cg05774801;cg05874561;cg14063488;cg06549216;cg03202804;cg11354906;cg25775322;cg14330641;cg05164933;cg23121156;cg23292160;cg10942078;cg14289246;cg22178613;cg23207990;cg25645268;cg04965141;cg00082664;cg20881942
0.199894633626591 0.570599001747669 0.370704368121078 VSX1 1099 cg02898293;cg06151165;cg14763548;cg00043788;cg01941895;cg02631468;cg16185834;cg15272362;cg01715455;cg03111498
0.193804858428013 0.564286558696212 0.370481700268199 FGF12 1969 cg18780257;cg04003850;cg00386551;cg04350913;cg21197774;cg16366473;cg15048660;cg23207710;cg01257828;cg10511904;cg16376000;cg17393267;cg08002883;cg01255414
0.145292145184505 0.515144173327645 0.36985202814314 RSPO2 903 cg07390122;cg14070647;cg20061155;cg00910695;cg04050867;cg14733048
0.181076435623157 0.550855184998693 0.369778749375536 ITGA4 1056 cg25652029;cg20415809;cg10526659;cg06952671;cg21995919;cg25024074;cg16057262;cg11947981;cg04531425
0.140448570861486 0.510063598199952 0.369615027338466 SFMBT2 1468 cg22862480;cg15248577;cg09060610;cg20299663;cg25291138
0.177984249491314 0.546810155803003 0.368825906311689 DMRTA2 66 cg22711792;cg23097402
0.17002874580572 0.538579658062489 0.368550912256769 DMRTA1 16 cg14338345;cg17909890
0.178251851860932 0.546236574506519 0.367984722645587 GALNT13 384 cg21998983;cg12424785;cg26983710;cg07547000;cg02593932
0.14920994831501 0.516553359712984 0.367343411397974 NA 741 cg24809973;cg08795964;cg26947626;cg11878331;cg18855674;cg17943279
0.153765980377575 0.518392701264376 0.364626720886801 ARHGEF4 949 cg13803013;cg26820055;cg11723713;cg22061831;cg22098115
0.169139470044682 0.531659492299463 0.362520022254781 AGRN 1291 cg02341264;cg06712559;cg17928920;cg16318112;cg09248054
0.182024188223994 0.541305962397045 0.359281774173051 GUCY1B3 1179 cg16700392;cg03584891;cg27272220;cg22664296;cg06217494;cg25185881;cg17493815
0.176586403574665 0.535173425918569 0.358587022343904 GFRA4 511 cg12987910;cg25164624
0.185412257254537 0.543767316481274 0.358355059226737 SLIT3 585 cg17386093;cg01663016;cg09073398;cg11732619;cg07136998;cg15927720;cg14658804;cg26492514;cg15637465
0.16762759149194 0.524681650489176 0.357054058997236 ESRRG 98 cg00913949;cg25755575;cg22118524;cg24630419
0.180730895629654 0.531842469874433 0.351111574244779 TM6SF1 501 cg11167100;cg08452658;cg26460092;cg03063639;cg14696396;cg25452071
0.193850048819578 0.543778168253952 0.349928119434374 PP12613;TMEM155 527 cg10863741;cg05396987;cg21077559;cg03227184;cg04638468;cg08553437;cg07978472;cg24912438
0.154486972005215 0.50228277487427 0.347795802869055 NGB 758 cg15890143;cg23272632;cg02881570;cg02181639;cg27278953
0.180737319377376 0.527355997903918 0.346618678526542 THBS4 31 cg00795341;cg10784386;cg18110483
0.174301048332085 0.518426570262755 0.34412552193067 DLGAP4 1195 cg27395891;cg03414318;cg02576219;cg00172672
0.177447388815628 0.519291167773766 0.341843778958138 LEPR 489 cg08234308;cg00630958;cg16987305;cg03401738
0.180744953956281 0.522531828829975 0.341786874873694 ZNF334 272 cg01471196;cg25828181;cg07139762;cg10140114;cg27385032
0.196058408259992 0.53690934572674 0.340850937466748 NA 224 cg24292235;cg25500050;cg14758680
0.177798979469176 0.518062493808178 0.340263514339002 LPPR5 432 cg14991984;cg18623672;cg03120289;cg10159215
0.182650707458834 0.520499100000667 0.337848392541833 SPAG6 171 cg05099508;cg24031355;cg10648197;cg06908778
0.188302617966248 0.524563414009618 0.33626079604337 ST6GALNAC5 1135 cg16966815;cg13823136;cg13463054;cg06201642;cg04077662;cg00294096;cg23243867;cg18380175;cg08431563;cg25306611
0.191211475818708 0.527424960057521 0.336213484238813 CLIC6 971 cg17935217;cg04497512;cg04125350;cg12742338;cg08363042
0.175203470472759 0.509922533371216 0.334719062898457 KCNQ5 1850 cg05447008;cg04377145;cg11008243;cg09303936;cg00852573;cg15717808;cg03786924;cg24687051;cg27369307;cg16221634;cg27412680
0.194181212568746 0.528852373177557 0.334671160608811 PGLYRP2 339 cg26751792;cg22544863;cg18652900;cg16206460;cg07931411
0.189529192847218 0.522699114811923 0.333169921964705 NA 658 cg22517656;cg22199216;cg19170208
0.180673739803236 0.512369178109933 0.331695438306697 PPP1R13L 115 cg08884571;cg08512167
0.197153096100635 0.526383263505846 0.329230167405211 NRG3 1100 cg10401879;cg01151966;cg05316043;cg04529370;cg02690638
0.179497750533789 0.50834616163121 0.328848411097421 BARHL2 563 cg13975503;cg13486820;cg26332310;cg01921432;cg06384463;cg06959142;cg18322569
0.185976561066368 0.513501141648583 0.327524580582215 TMEM108 909 cg17385936;cg05075118;cg06288251;cg18115215;cg24198558;cg02745211;cg09090724;cg26099138;cg14423735;cg26143045;cg19430967;cg10211298
0.19021784348624 0.516535674756523 0.326317831270283 MYO3A 389 cg15081351;cg08441170;cg15843567;cg23771603
0.188877058206975 0.514820191924147 0.325943133717172 ST8SIA5 701 cg19751300;cg09275869
0.189568909076445 0.50949734215492 0.319928433078475 GNGT1;TFPI2 711 cg12973591;cg22799321;cg20230721;cg23141855;cg23686014;cg24531255;cg17338208;cg26739865;cg22441533;cg14377593
0.193721148047246 0.51124387141042 0.317522723363174 PAX6 2165 cg11827910;cg20014398;cg11128216;cg22982368;cg11469061;cg09537620;cg18372607;cg08784129;cg09382096;cg18082638;cg07124117;cg13596833;cg22557091
0.197614200572201 0.513632270887563 0.316018070315362 NBPF13P 180 cg06871074;cg21908235
0.197453569068913 0.510378477956262 0.312924908887349 CCDC181 234 cg00100121;cg13958426;cg00002719;cg08104202;cg23818870;cg16998150;cg08047907;cg24808280
0.199586243682458 0.509969694390665 0.310383450708207 CCDC37;CCDC37-AS1 279 cg23816347;cg09686443;cg01815671;cg11229862;cg20312228;cg21109744;cg00891278;cg19628148
